date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2026-02-03,009816,369593102,3795095318,10.31,10.6,10.15,10.27,0.27,64302
2026-02-04,009816,224121973,2300504142,10.26,10.31,10.2,10.29,0.02,45575
2026-02-05,009816,397935452,4040687647,10.23,10.23,10.11,10.12,-0.17,104197
2026-02-06,009816,261271023,2620504550,10.06,10.17,9.95,10.09,-0.03,72734
2026-02-09,009816,150417191,1563426613,10.4,10.42,10.35,10.38,0.29,32681
2026-02-10,009816,205116982,2171646689,10.53,10.62,10.51,10.62,0.24,35380
2026-02-11,009816,338105044,3644448546,10.69,10.86,10.67,10.84,0.22,60376
2026-02-23,009816,718102991,7889461470,11.04,11.06,10.9,10.9,0.06,155431
2026-02-24,009816,430998377,4790257637,11.0,11.21,10.95,11.18,0.28,90643
2026-02-25,009816,744517479,8505471259,11.36,11.56,11.31,11.45,0.27,151715
2026-02-26,009816,623790160,7170065792,11.53,11.55,11.4,11.48,0.03,143101
2026-03-02,009816,759363353,8620190338,11.26,11.41,11.21,11.32,-0.16,211655
2026-03-03,009816,743403819,8295266081,11.3,11.33,11.06,11.06,-0.26,229847
2026-03-04,009816,885849670,9455694290,10.85,10.86,10.58,10.6,-0.46,264652
2026-03-05,009816,504415404,5489769864,10.95,11.03,10.75,10.83,0.23,108084
2026-03-06,009816,230477047,2483379116,10.75,10.85,10.7,10.78,-0.05,67729
2026-03-09,009816,715802038,7306464128,10.16,10.29,10.08,10.29,-0.49,204156
2026-03-10,009816,265956230,2810566977,10.65,10.68,10.41,10.52,0.23,71839
2026-03-11,009816,183573442,1993691438,10.71,10.97,10.69,10.94,0.42,46043
2026-03-12,009816,201700391,2180486609,10.83,10.93,10.75,10.8,-0.14,59652
2026-03-13,009816,172659081,1848820382,10.65,10.8,10.62,10.75,-0.05,48823
2026-03-16,009816,167886255,1803344639,10.81,10.84,10.68,10.72,-0.03,41248
2026-03-17,009816,149226632,1619807730,10.8,10.91,10.8,10.84,0.12,27564
2026-03-18,009816,183207714,2014729249,10.99,11.03,10.95,11.01,0.17,35237
2026-03-19,009816,220815854,2394502279,10.88,10.9,10.79,10.82,-0.19,62615
2026-03-20,009816,146806347,1582844515,10.82,10.87,10.7,10.78,-0.04,37940
2026-03-23,009816,302477012,3169198957,10.44,10.54,10.39,10.51,-0.27,103332
2026-03-24,009816,159614777,1681519554,10.73,10.73,10.42,10.48,-0.03,51050
2026-03-25,009816,129338133,1396302677,10.76,10.85,10.75,10.78,0.3,166357
2026-03-26,009816,119921811,1297568826,10.82,10.9,10.74,10.74,-0.04,25989
